,yyyy,PerNo,PerStatus,sex,Job classification,Job level,Factory code,Layers of management,Work experience1,Work experience2,Work experience3,Work experience4,Work experience5,Project Hours,Project Numbers,Current project position,Percentage of Special project,Working place,Training hours A,Training hours B,Training hours C,Total production,Number of Honors,Promotion or Not Promotion,Promotion speed,Number of leave in recent three months A,Number of leave in the past year A,Number of leave in recent three months B,Number of leave in the past year B,Business Trip A,Business Trip B,Business Trip Concentration,Annual performance level A,Annual performance level B,Annual performance level C,Age level,Marital Status,Job tenure level A,Job tenure level B,Job tenure level C,Average number of years of work before employment,highest education level,Graduated School category,Graduated Department category,Family numbers,Commuting cost,Affiliated department,Work Overtime
0,2018,1,,1.0,1.0,3.0,19.0,6.0,0.0,1.0,1.0,0.0,0.0,23.0,6.0,5.0,1.0,6.0,0.0,1.0,1.0,4.0,3.0,0.0,2.0,5.0,7.0,0.0,0.0,3.0,1.0,2.0,6.0,10.0,5.0,8.0,1.0,3.0,2.0,1.0,2.0,,,5.0,2.0,8.0,19138.0,0
1,2018,3,,0.0,1.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,3.0,5.0,2.0,6.0,0.0,0.0,0.0,9.0,1.0,0.0,7.0,4.0,8.0,0.0,0.0,1.0,0.0,0.0,6.0,4.0,5.0,11.0,1.0,6.0,6.0,0.0,0.0,2.0,4.0,1.0,2.0,8.0,8181.0,0
2,2018,7,,0.0,1.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,1.0,0.0,6.0,0.0,0.0,1.0,8.0,2.0,0.0,2.0,0.0,9.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,5.0,4.0,2.0,1.0,1.0,0.0,0.0,,,5.0,0.0,10.0,4010.0,5
3,2018,15,,0.0,1.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,1.0,1.0,5.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0,4.0,5.0,0.0,0.0,1.0,0.0,0.0,6.0,2.0,4.0,10.0,1.0,3.0,1.0,4.0,2.0,,4.0,8.0,2.0,9.0,2177.0,0
4,2018,16,,0.0,1.0,4.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,1.0,0.0,11.0,1.0,2.0,2.0,4.0,0.0,0.0,1.0,2.0,10.0,1.0,2.0,3.0,1.0,4.0,10.0,10.0,5.0,6.0,1.0,3.0,1.0,3.0,1.0,2.0,3.0,3.0,2.0,10.0,12072.0,0
5,2018,18,,1.0,2.0,4.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,2.0,12.0,1.0,6.0,4.0,5.0,0.0,,3.0,1.0,1.0,9.0,16070.0,0
6,2018,19,,0.0,1.0,7.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,5.0,0.0,6.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,5.0,10.0,0.0,0.0,1.0,0.0,1.0,10.0,10.0,5.0,5.0,1.0,2.0,2.0,1.0,1.0,2.0,4.0,7.0,1.0,8.0,13147.0,2
7,2018,22,,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,2.0,5.0,3.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,2.0,10.0,1.0,7.0,5.0,3.0,0.0,3.0,3.0,3.0,0.0,8.0,8126.0,0
8,2018,23,,1.0,1.0,4.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,5.0,3.0,6.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,8.0,0.0,0.0,3.0,0.0,3.0,1.0,5.0,3.0,8.0,1.0,3.0,3.0,0.0,0.0,,4.0,3.0,2.0,6.0,14105.0,0
9,2018,24,,1.0,1.0,3.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,5.0,0.0,6.0,0.0,0.0,1.0,3.0,2.0,0.0,3.0,1.0,9.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,5.0,12.0,1.0,6.0,6.0,0.0,0.0,2.0,4.0,8.0,1.0,8.0,8038.0,0
10,2018,26,,1.0,1.0,3.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,1.0,4.0,6.0,0.0,0.0,1.0,12.0,2.0,0.0,1.0,4.0,6.0,0.0,0.0,4.0,0.0,3.0,2.0,1.0,4.0,7.0,1.0,4.0,2.0,3.0,2.0,2.0,5.0,5.0,2.0,9.0,13151.0,3
11,2018,31,,1.0,1.0,3.0,20.0,4.0,0.0,0.0,0.0,0.0,1.0,22.0,2.0,5.0,0.0,6.0,0.0,0.0,1.0,10.0,1.0,1.0,1.0,6.0,9.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,4.0,1.0,2.0,2.0,0.0,0.0,2.0,,5.0,2.0,8.0,20054.0,13
12,2018,34,,1.0,1.0,7.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,3.0,2.0,1.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,2.0,0.0,3.0,5.0,7.0,2.0,3.0,2.0,1.0,1.0,0.0,1.0,2.0,,3.0,0.0,7.0,11051.0,5
13,2018,35,,1.0,1.0,2.0,8.0,3.0,0.0,0.0,0.0,0.0,1.0,23.0,4.0,1.0,0.0,6.0,1.0,1.0,1.0,4.0,1.0,0.0,1.0,2.0,7.0,0.0,0.0,4.0,1.0,4.0,4.0,1.0,5.0,11.0,1.0,6.0,6.0,0.0,0.0,,,3.0,2.0,7.0,8126.0,0
14,2018,40,,1.0,1.0,3.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,5.0,4.0,5.0,2.0,1.0,1.0,6.0,1.0,1.0,1.0,2.0,8.0,0.0,0.0,2.0,1.0,1.0,6.0,1.0,5.0,7.0,1.0,3.0,2.0,1.0,1.0,,4.0,8.0,2.0,8.0,8145.0,0
