,yyyy,periodQ,PerStatus,PerNo,Work Overtime,Business Trip A,Business Trip B,Number of leave A,Number of leave B
0,2014,2014Q1,0,1,0,8,0,1,0
1,2014,2014Q1,0,1747,0,2,0,1,0
2,2014,2014Q2,0,1747,0,2,0,2,0
3,2014,2014Q3,0,1747,0,2,0,2,0
4,2014,2014Q4,0,1747,0,2,0,3,0
5,2014,2014Q4,0,5403,6,8,0,2,0
6,2014,2014Q3,0,5403,4,7,0,1,0
7,2014,2014Q2,0,5403,2,6,0,2,0
8,2014,2014Q1,0,5403,0,7,0,1,0
9,2014,2014Q4,0,5401,0,1,0,4,0
10,2014,2014Q3,0,5408,0,1,0,3,0
11,2014,2014Q3,0,5401,0,0,0,4,0
12,2014,2014Q1,0,5401,0,1,0,4,0
13,2014,2014Q1,0,1748,0,0,0,1,0
14,2014,2014Q2,0,5404,0,2,2,2,0
15,2014,2014Q2,0,1748,0,1,0,1,0
16,2014,2014Q4,0,1748,0,0,0,4,0
17,2014,2014Q4,0,5397,0,1,0,2,0
18,2014,2014Q3,0,5397,0,1,0,2,0
19,2014,2014Q2,0,5397,0,1,0,4,0
20,2014,2014Q1,0,5397,0,1,0,1,0
21,2014,2014Q4,0,5395,0,0,0,3,0
22,2014,2014Q3,0,5395,0,1,0,3,0
23,2014,2014Q2,0,5401,0,0,0,3,0
24,2014,2014Q1,0,5404,0,3,0,2,0
25,2014,2014Q4,0,1737,0,1,0,4,0
26,2014,2014Q2,0,4534,0,2,0,1,0
27,2014,2014Q1,0,5395,0,0,0,3,0
28,2014,2014Q4,0,5394,0,1,0,3,0
29,2014,2014Q3,0,1748,0,0,0,3,0
30,2014,2014Q3,0,5394,0,1,0,2,0
31,2014,2014Q3,0,5404,0,3,0,3,0
32,2014,2014Q1,0,5405,5,1,0,0,0
33,2014,2014Q3,0,5423,0,0,0,2,0
34,2014,2014Q2,0,5423,0,0,0,4,0
35,2014,2014Q1,0,5423,0,0,0,3,0
36,2014,2014Q1,0,1740,1,2,0,5,0
37,2014,2014Q2,0,1740,0,1,1,0,0
38,2014,2014Q3,0,1740,6,1,1,0,0
39,2014,2014Q4,1,1740,7,1,0,1,0
40,2014,2014Q1,0,1742,0,1,0,4,0
41,2014,2014Q2,0,1742,0,1,0,4,0
42,2014,2014Q3,0,1742,0,1,0,4,0
43,2014,2014Q4,0,1742,0,1,0,5,0
44,2014,2014Q4,0,5416,0,2,1,4,0
45,2014,2014Q3,0,5416,0,2,0,2,0
46,2014,2014Q2,0,5416,0,3,1,2,0
47,2014,2014Q4,0,5404,0,4,0,3,0
48,2014,2014Q1,0,5416,0,2,0,1,0
49,2014,2014Q2,0,1749,0,1,0,2,0
50,2014,2014Q1,0,1749,0,1,0,4,0
51,2014,2014Q2,0,5395,0,0,0,2,0
52,2014,2014Q2,0,5408,0,2,0,1,0
53,2014,2014Q4,0,5407,0,0,0,5,0
54,2014,2014Q4,0,1756,0,0,0,1,0
55,2014,2014Q1,0,5407,0,1,0,1,0
56,2014,2014Q1,0,1744,0,0,0,2,0
57,2014,2014Q2,0,1744,0,0,0,3,0
58,2014,2014Q3,0,1744,0,0,0,8,0
59,2014,2014Q4,0,1744,0,0,0,0,0
60,2014,2014Q4,0,5405,2,0,0,7,0
61,2014,2014Q3,0,5405,2,1,0,0,0
62,2014,2014Q2,0,5405,1,0,0,0,0
63,2014,2014Q4,0,5408,0,2,0,3,0
64,2014,2014Q1,0,5408,2,1,0,3,0
65,2014,2014Q2,0,5394,0,1,0,1,0
66,2014,2014Q4,0,5393,0,2,0,4,0
67,2014,2014Q4,0,5374,0,1,0,6,0
68,2014,2014Q3,0,5374,0,1,0,2,0
69,2014,2014Q2,0,5374,0,1,0,0,0
70,2014,2014Q1,0,5374,3,0,0,0,0
71,2014,2014Q4,0,5373,4,0,0,3,0
72,2014,2014Q3,0,5373,2,2,0,2,0
73,2014,2014Q2,0,5373,1,2,0,2,0
74,2014,2014Q1,0,5373,2,1,0,3,0
75,2014,2014Q4,0,5368,5,5,0,4,0
76,2014,2014Q3,0,5368,2,4,0,1,0
77,2014,2014Q1,0,5394,0,1,0,3,0
78,2014,2014Q2,0,5407,0,1,0,2,0
79,2014,2014Q3,0,5407,0,0,0,1,0
80,2014,2014Q2,0,5368,1,4,0,3,0
81,2014,2014Q1,0,5368,0,2,0,2,0
82,2014,2014Q3,0,1759,0,0,0,1,0
83,2014,2014Q1,0,1761,0,1,1,2,0
84,2014,2014Q2,0,1761,0,1,3,1,0
85,2014,2014Q3,0,1761,0,1,0,2,0
86,2014,2014Q4,0,1761,0,2,0,4,0
87,2014,2014Q4,0,5367,0,1,2,3,0
88,2014,2014Q3,0,5367,0,2,2,3,0
89,2014,2014Q2,0,5367,0,3,0,3,0
90,2014,2014Q1,0,5367,0,2,0,3,0
91,2014,2014Q4,0,5365,0,4,1,3,0
92,2014,2014Q3,0,5365,0,4,1,1,0
93,2014,2014Q4,0,1749,1,2,0,7,0
94,2014,2014Q2,0,5365,0,4,0,2,0
95,2014,2014Q1,0,1766,0,1,0,2,0
96,2014,2014Q2,0,1766,0,2,0,2,0
97,2014,2014Q4,1,1759,0,0,0,6,0
98,2014,2014Q3,0,1756,0,0,0,6,0
99,2014,2014Q2,0,1756,0,0,0,2,0
100,2014,2014Q1,0,1756,0,0,0,5,0
101,2014,2014Q3,0,5393,0,3,0,3,0
102,2014,2014Q2,0,5393,0,3,0,2,0
103,2014,2014Q1,0,5393,0,1,0,3,0
104,2014,2014Q2,0,1759,1,0,0,1,0
105,2014,2014Q1,0,1759,0,1,0,1,0
106,2014,2014Q1,0,5365,0,3,0,5,0
107,2014,2014Q3,0,1749,0,4,0,2,0
108,2014,2014Q1,0,1750,1,3,0,3,0
109,2014,2014Q2,0,1750,0,4,0,1,0
110,2014,2014Q2,0,5390,0,3,2,3,0
111,2014,2014Q1,0,5390,1,1,0,5,0
112,2014,2014Q4,0,5389,0,2,0,5,0
113,2014,2014Q3,0,5389,0,2,0,2,0
114,2014,2014Q2,0,5389,0,1,0,3,0
115,2014,2014Q1,0,5389,0,1,0,2,0
116,2014,2014Q4,0,5384,1,1,0,4,0
117,2014,2014Q3,0,5384,12,0,0,2,0
118,2014,2014Q1,0,5377,0,1,0,3,0
119,2014,2014Q2,0,5377,1,1,0,1,0
120,2014,2014Q3,0,5377,0,2,0,2,0
121,2014,2014Q4,0,5377,0,3,0,3,0
122,2014,2014Q1,0,5379,0,1,0,2,0
123,2014,2014Q2,0,5379,0,6,0,1,0
124,2014,2014Q4,0,5423,0,0,0,1,0
125,2014,2014Q3,0,5379,2,7,0,3,0
126,2014,2014Q4,0,1755,0,0,0,7,0
127,2014,2014Q3,0,1755,0,0,0,2,0
128,2014,2014Q2,0,1755,0,1,0,1,0
129,2014,2014Q1,0,1755,0,0,0,7,0
130,2014,2014Q1,0,5384,0,0,0,2,0
131,2014,2014Q4,0,5379,0,0,0,3,0
132,2014,2014Q2,0,1719,0,0,0,1,0
133,2014,2014Q3,0,5390,1,2,0,6,0
134,2014,2014Q4,0,5390,1,2,0,3,0
135,2014,2014Q2,0,5384,15,0,0,1,0
136,2014,2014Q1,0,5425,0,1,0,1,0
137,2014,2014Q2,0,5466,0,1,1,2,0
138,2014,2014Q1,0,5466,0,1,0,0,0
139,2014,2014Q4,0,5463,0,0,0,7,0
140,2014,2014Q3,0,5463,0,0,0,5,0
141,2014,2014Q2,0,5463,3,0,0,1,0
142,2014,2014Q1,0,5463,0,0,0,1,0
143,2014,2014Q4,0,5457,5,0,0,4,0
144,2014,2014Q3,0,5457,2,0,0,1,0
145,2014,2014Q2,0,5457,1,0,0,2,0
146,2014,2014Q1,0,5457,2,1,0,0,0
147,2014,2014Q4,0,5453,0,2,0,2,0
148,2014,2014Q3,0,1719,0,0,0,4,0
149,2014,2014Q3,0,5453,0,1,0,5,0
150,2014,2014Q1,0,5453,0,1,0,2,0
151,2014,2014Q3,0,5466,0,1,0,4,0
152,2014,2014Q1,0,1717,6,1,0,1,0
153,2014,2014Q3,0,1717,3,2,0,2,0
154,2014,2014Q4,1,1717,4,3,0,2,0
155,2014,2014Q1,0,1718,0,1,0,3,0
156,2014,2014Q2,0,1718,1,1,0,0,0
157,2014,2014Q3,0,1718,0,1,0,4,0
158,2014,2014Q4,1,1718,1,1,0,0,0
159,2014,2014Q2,0,5425,0,1,0,3,0
160,2014,2014Q1,0,1719,0,0,0,2,0
161,2014,2014Q2,0,5453,0,1,0,3,0
162,2014,2014Q4,0,5433,0,4,0,4,0
163,2014,2014Q4,0,1719,0,0,0,3,0
164,2014,2014Q3,0,5467,0,0,0,3,0
165,2014,2014Q4,0,1722,0,2,0,2,0
166,2014,2014Q2,0,1717,1,2,0,2,0
167,2014,2014Q4,0,5466,0,1,0,4,0
168,2014,2014Q4,0,1713,0,2,0,5,0
169,2014,2014Q3,0,1713,1,0,0,2,0
170,2014,2014Q1,0,5485,2,1,0,2,0
171,2014,2014Q1,0,1706,0,1,0,3,0
172,2014,2014Q2,0,1706,0,0,0,5,0
173,2014,2014Q4,0,1750,0,5,0,0,0
174,2014,2014Q3,0,1706,0,1,0,2,0
175,2014,2014Q4,0,5483,0,0,0,3,0
176,2014,2014Q3,0,5483,2,1,0,4,0
177,2014,2014Q2,0,5483,3,0,0,1,0
178,2014,2014Q1,0,5483,1,0,0,1,0
179,2014,2014Q4,0,5480,0,1,0,4,0
180,2014,2014Q3,0,5480,0,1,0,2,0
181,2014,2014Q2,0,5480,0,0,0,1,0
182,2014,2014Q1,0,5480,0,0,0,1,0
183,2014,2014Q4,0,5473,0,8,1,4,0
184,2014,2014Q3,0,5473,0,5,4,1,0
185,2014,2014Q2,0,5473,0,5,3,1,0
