yyyy,sex,Job classification,Job level,Factory code,Management Layers,Work experience1,Work experience2,Work experience3,Work experience4,Work experience5,Project Hours,Project Numbers,Current project position,Special project,Working place,Training hours A,Training hours B,Training hours C,Total production,Number of Honors,Promotion or Not,Promotion speed,leave this three mon. A,leave this year A,leave this three mon. B,leave this year B,Business Trip A,Business Trip B,B-Trip Concentration,Annual performance A,Annual performance B,Annual performance C,Age level,Marital Status,Job tenure level A,Job tenure level B,Job tenure level C,Average working years,highest education,Graduated School,Graduated Department,Family numbers,Commuting cost,Affiliated department,Work Overtime
2014,1.0,1.0,3.0,19.0,4.0,0.0,1.0,1.0,0.0,0.0,23.0,1.0,1.0,3.0,6.0,0.0,0.0,5.0,7.0,1.0,1.0,1.0,3.0,5.0,0.0,0.0,5.0,0.0,9.0,2.0,10.0,4.0,6.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,5.0,0.0,8.0,19138.0,3.0
2015,1.0,1.0,3.0,19.0,6.0,0.0,1.0,1.0,0.0,0.0,23.0,2.0,1.0,1.0,6.0,0.0,0.0,8.0,9.0,2.0,0.0,1.0,4.0,6.0,0.0,0.0,3.0,1.0,4.0,2.0,1.0,5.0,7.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,5.0,2.0,8.0,19138.0,1.0
2016,1.0,1.0,3.0,19.0,6.0,0.0,1.0,1.0,0.0,0.0,23.0,3.0,5.0,1.0,6.0,2.0,0.0,5.0,10.0,2.0,0.0,1.0,4.0,7.0,0.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0,7.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,5.0,2.0,8.0,19138.0,2.0
2017,1.0,1.0,3.0,19.0,6.0,0.0,1.0,1.0,0.0,0.0,23.0,4.0,5.0,5.0,6.0,0.0,0.0,10.0,8.0,2.0,0.0,2.0,5.0,5.0,0.0,0.0,2.0,1.0,1.0,2.0,8.0,5.0,7.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,5.0,2.0,8.0,19138.0,1.0
2014,0.0,1.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,4.0,5.0,1.0,6.0,0.0,0.0,1.0,8.0,0.0,0.0,6.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,2.0,9.0,1.0,5.0,5.0,0.0,0.0,2.0,4.0,1.0,2.0,8.0,8181.0,0.0
2015,0.0,1.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,1.0,3.0,6.0,0.0,0.0,1.0,6.0,0.0,0.0,6.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,2.0,10.0,1.0,6.0,6.0,0.0,0.0,2.0,4.0,1.0,2.0,8.0,8181.0,0.0
2016,0.0,1.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,5.0,3.0,6.0,0.0,0.0,1.0,6.0,0.0,0.0,7.0,3.0,7.0,0.0,0.0,1.0,0.0,0.0,6.0,5.0,5.0,10.0,1.0,6.0,6.0,0.0,0.0,2.0,4.0,1.0,2.0,8.0,8181.0,0.0
2017,0.0,1.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,5.0,3.0,6.0,0.0,0.0,1.0,7.0,0.0,0.0,7.0,3.0,7.0,0.0,0.0,1.0,0.0,0.0,6.0,10.0,5.0,10.0,1.0,6.0,6.0,0.0,0.0,2.0,4.0,1.0,2.0,8.0,8181.0,0.0
2014,1.0,1.0,7.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,5.0,1.0,9.0,2.0,0.0,2.0,3.0,1.0,0.0,6.0,6.0,6.0,0.0,0.0,2.0,0.0,2.0,1.0,7.0,5.0,11.0,1.0,6.0,4.0,3.0,3.0,2.0,4.0,8.0,1.0,8.0,14048.0,4.0
2015,1.0,1.0,7.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,5.0,0.0,9.0,2.0,0.0,0.0,4.0,1.0,0.0,7.0,5.0,6.0,0.0,0.0,1.0,0.0,2.0,1.0,10.0,5.0,11.0,1.0,6.0,5.0,3.0,3.0,2.0,4.0,8.0,1.0,8.0,14048.0,4.0
